city,state_id,state,county,lat,lng,population,density
Rockwell,AR,Arkansas,Garland,34.4636,-93.134,4297,554.4
Harrogate,TN,Tennessee,Claiborne,36.5752,-83.6462,4296,230.3
Saukville,WI,Wisconsin,Ozaukee,43.3847,-87.9439,4294,487.8
Kewaskum,WI,Wisconsin,Washington,43.5177,-88.2306,4294,692.8
Huxley,IA,Iowa,Story,41.8965,-93.592,4293,460.8
Jonesboro,LA,Louisiana,Jackson,32.2348,-92.7098,4292,358.7
Edinburgh,IN,Indiana,Johnson,39.3509,-85.9625,4290,579.5
Reedsport,OR,Oregon,Douglas,43.6983,-124.1121,4289,761.9
Pantops,VA,Virginia,Albemarle,38.0316,-78.4437,4288,706.9
Cedar Knolls,NJ,New Jersey,Morris,40.8199,-74.4551,4286,798.0
Buchanan,MI,Michigan,Berrien,41.8283,-86.3656,4286,653.6
La Verkin,UT,Utah,Washington,37.2309,-113.2523,4286,132.4
Bradley Beach,NJ,New Jersey,Monmouth,40.2018,-74.0128,4284,2640.6
Forest City,IA,Iowa,Winnebago,43.257,-93.6366,4284,346.0
Wadena,MN,Minnesota,Wadena,46.445,-95.1285,4283,297.6
Hebbronville,TX,Texas,Jim Hogg,27.3251,-98.6857,4283,281.8
Fayetteville,NY,New York,Onondaga,43.0308,-75.9984,4282,905.3
Danville,PA,Pennsylvania,Montour,40.9615,-76.6121,4282,1145.0
Metzger,OR,Oregon,Washington,45.4493,-122.7621,4282,2236.5
Wiggins,MS,Mississippi,Stone,30.8557,-89.1386,4282,162.1
French Island,WI,Wisconsin,La Crosse,43.8593,-91.2614,4281,824.5
Barboursville,WV,West Virginia,Cabell,38.4067,-82.2964,4280,407.2
Trenton,TN,Tennessee,Gibson,35.9689,-88.945,4277,201.6
Crescent Springs,KY,Kentucky,Kenton,39.0553,-84.5787,4277,1049.6
Dyersville,IA,Iowa,Dubuque,42.4818,-91.1178,4276,232.9
Pocomoke City,MD,Maryland,Worcester,38.0635,-75.5553,4276,415.1
Slatington,PA,Pennsylvania,Lehigh,40.7543,-75.6114,4276,1258.9
Osawatomie,KS,Kansas,Miami,38.5063,-94.9486,4275,314.5
Locust,NC,North Carolina,Stanly,35.2688,-80.4369,4275,162.1
Mulberry,OH,Ohio,Clermont,39.1975,-84.2511,4275,1014.1
Fredericktown,MO,Missouri,Madison,37.5644,-90.2988,4274,357.6
Parker,FL,Florida,Bay,30.1289,-85.6008,4273,896.6
Montauk,NY,New York,Suffolk,41.0466,-71.9465,4272,74.4
Brownsville,LA,Louisiana,Ouachita,32.4883,-92.1619,4272,413.1
The College of New Jersey,NJ,New Jersey,Mercer,40.2689,-74.7764,4271,3487.8
Fayette,AL,Alabama,Fayette,33.6943,-87.8307,4271,195.5
Sharpsville,PA,Pennsylvania,Mercer,41.2595,-80.4813,4270,1145.0
Paxton,IL,Illinois,Ford,40.4563,-88.102,4269,518.4
Scott City,KS,Kansas,Scott,38.4789,-100.9031,4269,555.6
Belleair,FL,Florida,Pinellas,27.9365,-82.8114,4266,936.2
Camuy,PR,Puerto Rico,Camuy,18.4825,-66.8501,4266,1573.4
Forest Oaks,NC,North Carolina,Guilford,35.9889,-79.7079,4265,330.0
Elmira Heights,NY,New York,Chemung,42.1267,-76.8254,4265,1416.5
Pocola,OK,Oklahoma,Le Flore,35.2455,-94.4775,4264,52.2
Southern Shops,SC,South Carolina,Spartanburg,34.9846,-81.9934,4264,429.5
Anna,IL,Illinois,Union,37.4612,-89.2388,4262,435.7
Gardnertown,NY,New York,Orange,41.5328,-74.0595,4262,320.9
Mount Pleasant,PA,Pennsylvania,Westmoreland,40.1509,-79.5434,4261,1641.1
Bristow,OK,Oklahoma,Creek,35.8336,-96.3944,4261,471.9
Sykesville,MD,Maryland,Carroll,39.3716,-76.9716,4260,963.2
Colorado City,TX,Texas,Mitchell,32.3996,-100.8582,4259,281.5
Kutztown,PA,Pennsylvania,Berks,40.5212,-75.7772,4257,1218.5
Bonsall,CA,California,San Diego,33.2764,-117.1941,4257,118.9
Sinking Spring,PA,Pennsylvania,Berks,40.3242,-76.0235,4257,1277.2
Northwest Harwich,MA,Massachusetts,Barnstable,41.6917,-70.1026,4256,199.4
Longbranch,WA,Washington,Pierce,47.2257,-122.7739,4256,88.1
Sparta,MI,Michigan,Kent,43.1571,-85.7106,4255,664.3
Church Point,LA,Louisiana,Acadia,30.4037,-92.2145,4252,590.8
Euharlee,GA,Georgia,Bartow,34.1441,-84.9327,4252,310.7
Park Layne,OH,Ohio,Clark,39.8881,-84.0394,4252,1165.3
Country Lake Estates,NJ,New Jersey,Burlington,39.9486,-74.5409,4251,1443.1
Suquamish,WA,Washington,Kitsap,47.7238,-122.583,4251,244.5
Westport,NC,North Carolina,Lincoln,35.5103,-80.9783,4250,436.8
Pecan Acres,TX,Texas,Tarrant,32.9704,-97.4725,4250,86.8
East Village,CT,Connecticut,Fairfield,41.3612,-73.1845,4250,258.8
Ho-Ho-Kus,NJ,New Jersey,Bergen,41.0001,-74.0972,4248,909.2
Meadow Lake,NM,New Mexico,Valencia,34.8024,-106.5701,4248,142.7
North Wilkesboro,NC,North Carolina,Wilkes,36.1728,-81.139,4247,241.1
North Plymouth,MA,Massachusetts,Plymouth,41.9727,-70.6889,4246,1319.5
Chalfont,PA,Pennsylvania,Bucks,40.2893,-75.2095,4244,1004.9
Highland Beach,FL,Florida,Palm Beach,26.4087,-80.0661,4244,2810.7
Boyertown,PA,Pennsylvania,Berks,40.3322,-75.6375,4242,2027.6
Ashdown,AR,Arkansas,Little River,33.6746,-94.1265,4242,238.8
Mount Hermon,VA,Virginia,Pittsylvania,36.6716,-79.4202,4242,303.1
Larksville,PA,Pennsylvania,Luzerne,41.2639,-75.9327,4241,362.8
Genesee,CO,Colorado,Jefferson,39.6872,-105.2718,4241,239.0
Medford Lakes,NJ,New Jersey,Burlington,39.8581,-74.8053,4240,1341.8
Lyons,GA,Georgia,Toombs,32.2062,-82.3215,4239,205.5
Sullivan,IN,Indiana,Sullivan,39.0973,-87.4074,4238,840.4
Chelan,WA,Washington,Chelan,47.8415,-120.0262,4237,240.9
Barrington Hills,IL,Illinois,Cook,42.1399,-88.2034,4236,59.4
Waverly,TN,Tennessee,Humphreys,36.0939,-87.7847,4236,182.7
Heritage Village,CT,Connecticut,New Haven,41.4855,-73.2349,4232,658.1
Nikiski,AK,Alaska,Kenai Peninsula,60.7152,-151.2317,4232,24.0
Sagamore,MA,Massachusetts,Barnstable,41.7842,-70.5332,4229,439.7
Monte Vista,CO,Colorado,Rio Grande,37.5789,-106.1499,4228,596.1
Sebring,OH,Ohio,Mahoning,40.9207,-81.0231,4227,651.9
West Jefferson,OH,Ohio,Madison,39.9475,-83.3076,4227,171.9
Whiteman AFB,MO,Missouri,Johnson,38.7302,-93.5589,4227,236.4
Laureldale,PA,Pennsylvania,Berks,40.3897,-75.9134,4226,1860.5
Southside,AR,Arkansas,Independence,35.7149,-91.6328,4225,155.3
McLoud,OK,Oklahoma,Pottawatomie,35.4081,-97.099,4223,85.5
Maeser,UT,Utah,Uintah,40.4718,-109.5786,4222,242.7
Brookdale,SC,South Carolina,Orangeburg,33.5183,-80.8332,4221,502.5
Scott AFB,IL,Illinois,St. Clair,38.5412,-89.853,4219,342.3
Springville,NY,New York,Erie,42.5084,-78.6696,4218,450.1
Indian River Shores,FL,Florida,Indian River,27.7084,-80.3851,4217,320.6
Niwot,CO,Colorado,Boulder,40.098,-105.1552,4216,394.7
Farmers Loop,AK,Alaska,Fairbanks North Star,64.9061,-147.6957,4216,90.2
Red Oaks Mill,NY,New York,Dutchess,41.6517,-73.8748,4215,628.1
Charleroi,PA,Pennsylvania,Washington,40.1384,-79.9002,4215,1987.4
Burnt Mills,MD,Maryland,Montgomery,39.034,-76.9983,4215,1888.9
Slaughterville,OK,Oklahoma,Cleveland,35.091,-97.2881,4214,42.9
Aldan,PA,Pennsylvania,Delaware,39.9224,-75.2881,4214,2682.6
Baldwin,WI,Wisconsin,St. Croix,44.954,-92.3709,4214,502.4
Hawaiian Beaches,HI,Hawaii,Hawaii,19.5447,-154.9288,4213,117.2
Wellington,OH,Ohio,Lorain,41.1613,-82.2255,4213,473.2
Lisbon Falls,ME,Maine,Androscoggin,44.0086,-70.0571,4213,428.1
Forty Fort,PA,Pennsylvania,Luzerne,41.2846,-75.869,4212,1199.3
Ellenville,NY,New York,Ulster,41.7009,-74.3609,4209,178.7
Geneva,AL,Alabama,Geneva,31.0437,-85.8763,4208,104.3
Waverly,NE,Nebraska,Lancaster,40.9111,-96.5341,4208,639.2
Broken Bow,OK,Oklahoma,McCurtain,34.0292,-94.7426,4205,259.9
Gaylord,MI,Michigan,Otsego,45.0208,-84.6809,4204,290.6
Spring Valley Village,TX,Texas,Harris,29.7898,-95.5041,4204,1364.1
High Ridge,MO,Missouri,Jefferson,38.4608,-90.5338,4201,435.9
Mount Orab,OH,Ohio,Brown,39.0293,-83.9267,4200,175.5
Buckingham,FL,Florida,Lee,26.6613,-81.7402,4200,91.5
Greencastle,PA,Pennsylvania,Franklin,39.7907,-77.7267,4199,974.8
Cannon Falls,MN,Minnesota,Goodhue,44.5122,-92.9034,4198,348.6
Columbiana,AL,Alabama,Shelby,33.193,-86.6114,4197,102.7
Greenfield,OH,Ohio,Highland,39.3536,-83.3883,4197,777.2
Mirrormont,WA,Washington,King,47.4616,-121.9937,4196,152.3
Freeburg,IL,Illinois,St. Clair,38.4397,-89.9169,4195,220.6
Kings Park,VA,Virginia,Fairfax,38.8026,-77.2396,4194,1352.5
Aumsville,OR,Oregon,Marion,44.8462,-122.87,4193,1417.8
Chariton,IA,Iowa,Lucas,41.0175,-93.3097,4193,422.9
Nashville,AR,Arkansas,Howard,33.9418,-93.8516,4193,307.6
Smithton,IL,Illinois,St. Clair,38.4159,-89.9902,4192,349.9
County Center,VA,Virginia,Prince William,38.6917,-77.3507,4191,784.8
Pea Ridge,FL,Florida,Santa Rosa,30.603,-87.1022,4190,662.8
Dorr,MI,Michigan,Allegan,42.727,-85.719,4188,513.3
Saw Creek,PA,Pennsylvania,Pike,41.1197,-75.0465,4187,466.3
Grafton,ND,North Dakota,Walsh,48.4142,-97.4056,4186,483.9
Caseyville,IL,Illinois,St. Clair,38.6302,-90.0339,4185,223.2
Pipestone,MN,Minnesota,Pipestone,43.9958,-96.3117,4185,376.8
Dimmitt,TX,Texas,Castro,34.5324,-102.3111,4183,503.2
Waverly,OH,Ohio,Pike,39.1256,-82.9836,4183,388.2
Fruit Hill,OH,Ohio,Hamilton,39.0699,-84.367,4181,1329.8
Lonoke,AR,Arkansas,Lonoke,34.7906,-91.9072,4181,337.8
Hugoton,KS,Kansas,Stevens,37.1745,-101.3447,4180,793.0
Belfair,WA,Washington,Mason,47.4495,-122.8487,4179,238.8
Mount Olive,AL,Alabama,Jefferson,33.6778,-86.8727,4178,168.3
Jefferson,IA,Iowa,Greene,42.0173,-94.3799,4178,264.5
Woodruff,SC,South Carolina,Spartanburg,34.7421,-82.0371,4178,330.5
Middleville,MI,Michigan,Barry,42.7138,-85.4693,4178,573.4
Jersey Shore,PA,Pennsylvania,Lycoming,41.2012,-77.2666,4177,1394.3
San Carlos,TX,Texas,Hidalgo,26.2957,-98.0631,4177,842.4
University Center,VA,Virginia,Loudoun,39.0599,-77.4443,4176,1630.6
Brices Creek,NC,North Carolina,Craven,35.0505,-77.0844,4174,204.5
Le Sueur,MN,Minnesota,Le Sueur,44.4702,-93.9026,4174,299.0
Lyncourt,NY,New York,Onondaga,43.082,-76.1265,4173,1219.1
Algonac,MI,Michigan,St. Clair,42.6207,-82.5339,4173,1103.8
Winnfield,LA,Louisiana,Winn,31.924,-92.6425,4172,468.4
Comanche,TX,Texas,Comanche,31.9005,-98.6043,4171,354.4
Sheffield,OH,Ohio,Lorain,41.4559,-82.0912,4170,154.5
Columbus,MN,Minnesota,Anoka,45.2685,-93.0809,4169,35.4
Ashburn,GA,Georgia,Turner,31.7096,-83.6528,4168,299.2
Monongahela,PA,Pennsylvania,Washington,40.1955,-79.9222,4168,836.0
Cold Spring,MN,Minnesota,Stearns,45.457,-94.4297,4168,611.5
De Motte,IN,Indiana,Jasper,41.1988,-87.1973,4166,440.7
Herricks,NY,New York,Nassau,40.7567,-73.6635,4163,2717.2
Brookfield,MO,Missouri,Linn,39.7853,-93.0772,4161,385.3
Silver Lake,NJ,New Jersey,Essex,40.7804,-74.1829,4159,7979.2
Jacksonwald,PA,Pennsylvania,Berks,40.3279,-75.8414,4157,839.9
Chagrin Falls,OH,Ohio,Cuyahoga,41.4319,-81.3887,4156,729.7
Mount Olive,NC,North Carolina,Wayne,35.1997,-78.0662,4155,661.9
Bellville,TX,Texas,Austin,29.9472,-96.2598,4155,614.6
Surfside Beach,SC,South Carolina,Horry,33.6093,-78.9772,4155,885.9
Puhi,HI,Hawaii,Kauai,21.9622,-159.3917,4154,1874.6
Loch Lomond,VA,Virginia,Prince William,38.7812,-77.4817,4153,2323.9
Spindale,NC,North Carolina,Rutherford,35.3597,-81.9232,4153,299.1
Broadway,VA,Virginia,Rockingham,38.6083,-78.8016,4152,638.0
Cedarville,OH,Ohio,Greene,39.7471,-83.8109,4148,1135.1
Fairway,KS,Kansas,Johnson,39.0245,-94.6287,4147,1359.6
Dallastown,PA,Pennsylvania,York,39.8996,-76.641,4147,1912.2
Clay Center,KS,Kansas,Clay,39.3812,-97.1276,4147,484.9
Jacksboro,TX,Texas,Jack,33.2256,-98.1594,4146,234.9
Danielson,CT,Connecticut,Windham,41.8086,-71.8854,4146,1410.6
Apison,TN,Tennessee,Hamilton,35.0104,-85.0142,4146,100.7
Friona,TX,Texas,Parmer,34.6394,-102.723,4146,1057.8
Singac,NJ,New Jersey,Passaic,40.8849,-74.2431,4145,3407.3
Broad Brook,CT,Connecticut,Hartford,41.9097,-72.5426,4145,268.3
Lake Darby,OH,Ohio,Franklin,39.9604,-83.2242,4144,461.0
Roosevelt Park,MI,Michigan,Muskegon,43.1982,-86.2733,4142,1425.0
Kirtland AFB,NM,New Mexico,Bernalillo,35.0497,-106.5599,4142,303.3
Canton,TX,Texas,Van Zandt,32.5546,-95.8641,4141,247.2
Venus,TX,Texas,Johnson,32.4317,-97.1018,4140,477.2
Bagdad,FL,Florida,Santa Rosa,30.5824,-87.0447,4140,221.7
Mullica Hill,NJ,New Jersey,Gloucester,39.727,-75.2194,4139,371.1
Pixley,CA,California,Tulare,35.9785,-119.3003,4137,317.9
Peotone,IL,Illinois,Will,41.3308,-87.7956,4137,784.5
Valley Grande,AL,Alabama,Dallas,32.4862,-87.0305,4137,41.8
Hawkinsville,GA,Georgia,Pulaski,32.2965,-83.4815,4137,382.5
North Pembroke,MA,Massachusetts,Plymouth,42.0989,-70.7823,4133,358.8
Aguilita,PR,Puerto Rico,Juana Díaz,18.0284,-66.533,4133,1731.1
Akron,PA,Pennsylvania,Lancaster,40.158,-76.2031,4132,1261.1
Franklin,NC,North Carolina,Macon,35.1798,-83.3809,4131,317.7
Falls City,NE,Nebraska,Richardson,40.0623,-95.5989,4130,478.1
Spackenkill,NY,New York,Dutchess,41.6547,-73.91,4130,878.7
Shrewsbury,NJ,New Jersey,Monmouth,40.3249,-74.06,4129,729.5
Holloman AFB,NM,New Mexico,Otero,32.8483,-106.0998,4128,121.3
Level Green,PA,Pennsylvania,Westmoreland,40.3902,-79.7215,4128,401.8
Skyline View,PA,Pennsylvania,Dauphin,40.3376,-76.7256,4127,630.6
Lake San Marcos,CA,California,San Diego,33.1197,-117.209,4127,895.1
Lincoln,ND,North Dakota,Burleigh,46.7688,-100.6978,4126,1030.6
Goodview,MN,Minnesota,Winona,44.0692,-91.7166,4126,719.1
Candelaria Arenas,PR,Puerto Rico,Toa Baja,18.4175,-66.2203,4125,1431.6
University Gardens,NY,New York,Nassau,40.7752,-73.7281,4125,3133.5
Linden,MI,Michigan,Genesee,42.8194,-83.7811,4124,643.0
Point Pleasant,WV,West Virginia,Mason,38.853,-82.1303,4124,657.1
Pittsfield,IL,Illinois,Pike,39.6201,-90.7936,4123,340.3
Battle Mountain,NV,Nevada,Lander,40.6299,-116.9518,4122,246.8
Roebling,NJ,New Jersey,Burlington,40.1167,-74.7775,4121,1605.8
Ovilla,TX,Texas,Ellis,32.5352,-96.8895,4120,267.6
Lambertville,NJ,New Jersey,Hunterdon,40.3687,-74.943,4116,1356.3
Whiteriver,AZ,Arizona,Navajo,33.8358,-109.9616,4114,100.4
Lowell,MI,Michigan,Kent,42.9351,-85.3457,4114,554.5
Rice Lake,MN,Minnesota,St. Louis,46.8977,-92.1137,4114,49.7
Lansford,PA,Pennsylvania,Carbon,40.8331,-75.8848,4110,945.2
La Cienega,NM,New Mexico,Santa Fe,35.5794,-106.113,4110,123.4
West Milwaukee,WI,Wisconsin,Milwaukee,43.0124,-87.971,4108,1424.8
Mills,WY,Wyoming,Natrona,42.8473,-106.383,4106,333.3
Morgan,UT,Utah,Morgan,41.0414,-111.6802,4105,554.3
Pleasant Hills,MD,Maryland,Harford,39.4861,-76.3908,4104,355.7
Reiffton,PA,Pennsylvania,Berks,40.3126,-75.8663,4102,837.7
Prestonsburg,KY,Kentucky,Floyd,37.6819,-82.7661,4099,93.9
Lathrup Village,MI,Michigan,Oakland,42.4921,-83.2273,4098,1053.1
Malmstrom AFB,MT,Montana,Cascade,47.5059,-111.1825,4098,295.0
West Bradenton,FL,Florida,Manatee,27.5016,-82.6146,4096,1108.4
Kildeer,IL,Illinois,Lake,42.183,-88.0488,4093,365.7
Calcium,NY,New York,Jefferson,44.0401,-75.8468,4092,244.3
Chester,NY,New York,Orange,41.357,-74.2768,4092,729.2
Alexandria,AL,Alabama,Calhoun,33.7675,-85.8792,4092,145.1
India Hook,SC,South Carolina,York,35.0142,-81.0378,4092,551.0
Sunset Beach,NC,North Carolina,Brunswick,33.892,-78.5107,4091,221.3
Woodbridge,CA,California,San Joaquin,38.1692,-121.3113,4090,487.5
Garden City South,NY,New York,Nassau,40.712,-73.6607,4090,4118.5
Captain Cook,HI,Hawaii,Hawaii,19.4995,-155.8937,4087,131.0
Burnham,IL,Illinois,Cook,41.6375,-87.5447,4085,857.8
Westover,WV,West Virginia,Monongalia,39.6329,-79.9882,4085,567.5
Otsego,MI,Michigan,Allegan,42.4576,-85.698,4083,765.3
Capitol Heights,MD,Maryland,Prince George's,38.8765,-76.9075,4083,2227.7
Trevose,PA,Pennsylvania,Bucks,40.1509,-74.982,4082,1891.6
Akwesasne,NY,New York,Franklin,44.9647,-74.6664,4080,37.1
North Alamo,TX,Texas,Hidalgo,26.216,-98.1264,4080,1073.6
Arabi,LA,Louisiana,St. Bernard,29.9562,-89.9986,4080,925.6
Pine Manor,FL,Florida,Lee,26.573,-81.8774,4080,3828.7
Palmer Heights,PA,Pennsylvania,Northampton,40.6907,-75.2671,4078,1343.3
Holiday City South,NJ,New Jersey,Ocean,39.9533,-74.2367,4077,817.2
Quitman,GA,Georgia,Brooks,30.7849,-83.5603,4077,348.0
Cedar Creek,TX,Texas,Bastrop,30.0811,-97.518,4076,73.5
Lockeford,CA,California,San Joaquin,38.1508,-121.1554,4076,165.3
Walhalla,SC,South Carolina,Oconee,34.7705,-83.0615,4076,435.0
Meridian,PA,Pennsylvania,Butler,40.8531,-79.9555,4076,551.5
Throop,PA,Pennsylvania,Lackawanna,41.4382,-75.5927,4075,303.6
Laguna Beach,FL,Florida,Bay,30.2549,-85.9512,4073,656.5
Rosemont,PA,Pennsylvania,Montgomery,40.0306,-75.327,4072,1690.6
Oak Grove,TN,Tennessee,Washington,36.4222,-82.4293,4072,370.9
Millstadt,IL,Illinois,St. Clair,38.4579,-90.0834,4071,429.4
Cross Plains,WI,Wisconsin,Dane,43.1145,-89.6479,4070,907.9
Montesano,WA,Washington,Grays Harbor,47.0102,-123.5857,4070,141.8
Marine City,MI,Michigan,St. Clair,42.7137,-82.5012,4069,731.2
Mullins,SC,South Carolina,Marion,34.204,-79.2536,4068,546.5
Bystrom,CA,California,Stanislaus,37.6198,-120.9813,4068,2671.2
Green Oaks,IL,Illinois,Lake,42.2954,-87.9115,4067,375.6
Garden Ridge,TX,Texas,Comal,29.6379,-98.2927,4065,219.2
Meiners Oaks,CA,California,Ventura,34.4553,-119.2702,4065,585.4
North Muskegon,MI,Michigan,Muskegon,43.2517,-86.2715,4063,818.8
Carlisle,IA,Iowa,Polk,41.5118,-93.495,4063,285.6
Sherman,IL,Illinois,Sangamon,39.8876,-89.6066,4061,552.0
Rosewood Heights,IL,Illinois,Madison,38.8885,-90.0723,4061,921.9
Dumas,AR,Arkansas,Desha,33.8834,-91.4857,4059,511.6
Fleetwood,PA,Pennsylvania,Berks,40.4565,-75.8209,4059,1517.8
Shallotte,NC,North Carolina,Brunswick,33.9768,-78.3803,4059,177.1
Jourdanton,TX,Texas,Atascosa,28.9141,-98.5409,4059,467.3
Indian Head Park,IL,Illinois,Cook,41.769,-87.8977,4059,1553.9
Great Notch,NJ,New Jersey,Passaic,40.8705,-74.2084,4059,1664.7
Hatillo,PR,Puerto Rico,Hatillo,18.4811,-66.8221,4057,1471.6
Tarpey Village,CA,California,Fresno,36.7941,-119.7012,4056,2066.1
Bethel,WA,Washington,Kitsap,47.4874,-122.6175,4056,510.8
South Haven,MI,Michigan,Van Buren,42.4011,-86.2677,4055,492.3
Chilton,WI,Wisconsin,Calumet,44.0293,-88.1625,4054,371.8
Whitesboro,TX,Texas,Grayson,33.6612,-96.9022,4054,467.7
Jasper,GA,Georgia,Pickens,34.471,-84.4497,4054,177.0
Hazlehurst,GA,Georgia,Jeff Davis,31.8651,-82.5994,4053,331.9
Shelbyville,IL,Illinois,Shelby,39.4097,-88.8005,4053,397.4
Leland,MS,Mississippi,Washington,33.4051,-90.8909,4052,416.6
St. Bernard,OH,Ohio,Hamilton,39.1711,-84.4955,4052,1095.2
Scissors,TX,Texas,Hidalgo,26.1333,-98.0475,4052,850.3
Trent Woods,NC,North Carolina,Craven,35.081,-77.0945,4052,525.2
Elkin,NC,North Carolina,Surry,36.2621,-80.8443,4051,225.6
St. James,MD,Maryland,Washington,39.5738,-77.7482,4051,227.8
Heritage Hills,NY,New York,Westchester,41.3398,-73.7016,4050,891.5
Pinetop-Lakeside,AZ,Arizona,Navajo,34.1486,-109.9657,4049,152.7
Riverdale,NJ,New Jersey,Morris,40.9921,-74.3125,4049,796.3
Turners Falls,MA,Massachusetts,Franklin,42.5975,-72.5573,4049,747.8
Williamston,SC,South Carolina,Anderson,34.6194,-82.4794,4047,441.6
Clarion,PA,Pennsylvania,Clarion,41.2106,-79.3803,4046,1385.6
Bealeton,VA,Virginia,Fauquier,38.5822,-77.7781,4043,277.8
McGovern,PA,Pennsylvania,Washington,40.2362,-80.2268,4040,538.1
Cherry Grove,OH,Ohio,Hamilton,39.0802,-84.322,4040,1444.5
Amity Gardens,PA,Pennsylvania,Berks,40.2718,-75.7321,4038,1312.5
Woodville,FL,Florida,Leon,30.312,-84.2611,4038,186.4
Wellsville,UT,Utah,Cache,41.6223,-111.943,4036,203.3
Ridgway,PA,Pennsylvania,Elk,41.427,-78.7297,4036,558.8
Fulton,MS,Mississippi,Itawamba,34.2616,-88.4021,4036,180.4
Wonder Lake,IL,Illinois,McHenry,42.3794,-88.3493,4032,307.6
Metamora,IL,Illinois,Woodford,40.7951,-89.3672,4032,652.8
Lake Sarasota,FL,Florida,Sarasota,27.2948,-82.4323,4032,2392.8
Larch Way,WA,Washington,Snohomish,47.8429,-122.2528,4030,1307.9
Rosemont,IL,Illinois,Cook,41.989,-87.8718,4027,898.9
Park Rapids,MN,Minnesota,Hubbard,46.9169,-95.0576,4026,216.9
Beavercreek,OR,Oregon,Clackamas,45.2756,-122.5136,4026,78.9
Rogersville,MO,Missouri,Greene,37.1148,-93.0742,4024,425.6
Grape Creek,TX,Texas,Tom Green,31.5817,-100.5474,4024,95.0
Cayuga Heights,NY,New York,Tompkins,42.468,-76.4876,4023,795.9
South Chicago Heights,IL,Illinois,Cook,41.4831,-87.6369,4022,987.3
Taylor,AZ,Arizona,Navajo,34.4393,-110.1018,4020,50.3
Leisure Village West,NJ,New Jersey,Ocean,40.0104,-74.2806,4019,1202.3
Rock Valley,IA,Iowa,Sioux,43.2028,-96.2897,4018,333.9
Liberty Hill,TX,Texas,Williamson,30.6638,-97.9063,4017,386.0
Wolf Lake,MI,Michigan,Muskegon,43.2451,-86.1074,4017,368.5
Whiteland,IN,Indiana,Johnson,39.5505,-86.0739,4016,345.0
Harbour Heights,FL,Florida,Charlotte,26.9928,-82.0072,4016,685.5
North East,MD,Maryland,Cecil,39.6076,-75.9414,4015,678.7
Bayou Vista,LA,Louisiana,St. Mary,29.6912,-91.2672,4015,931.4
Caldwell,TX,Texas,Burleson,30.5307,-96.7007,4013,431.3
Venersborg,WA,Washington,Clark,45.786,-122.4721,4011,141.6
Bosque Farms,NM,New Mexico,Valencia,34.8539,-106.7011,4010,376.1
Setauket,NY,New York,Suffolk,40.9484,-73.116,4009,584.8
Tri-City,OR,Oregon,Douglas,42.9894,-123.2999,4009,236.4
Greendale,IN,Indiana,Dearborn,39.1316,-84.851,4009,266.1
Sparta,IL,Illinois,Randolph,38.1513,-89.7185,4008,148.7
Del Mar,CA,California,San Diego,32.9635,-117.2624,4008,974.0
Castle Hills,TX,Texas,Bexar,29.5229,-98.5197,4007,697.3
Waynesburg,PA,Pennsylvania,Greene,39.8983,-80.1855,4007,1905.8
Saxon,SC,South Carolina,Spartanburg,34.9616,-81.9713,4007,604.4
Haskell,AR,Arkansas,Saline,34.5095,-92.6406,4006,359.7
Waikapu,HI,Hawaii,Maui,20.8391,-156.5221,4002,131.5
Dupo,IL,Illinois,St. Clair,38.5146,-90.2168,4001,236.2
Fenton,MO,Missouri,St. Louis,38.5279,-90.4488,4000,251.6
New Lebanon,OH,Ohio,Montgomery,39.744,-84.3943,3999,733.7
Running Springs,CA,California,San Bernardino,34.2104,-117.1147,3998,405.0
Coleman,TX,Texas,Coleman,31.8317,-99.4223,3998,271.7
Coquille,OR,Oregon,Coos,43.1802,-124.1841,3998,548.3
McMurray,PA,Pennsylvania,Washington,40.2815,-80.0874,3994,524.5
Monticello,IA,Iowa,Jones,42.2298,-91.1861,3994,268.5
White House Station,NJ,New Jersey,Hunterdon,40.6216,-74.7737,3991,588.3
Mineral Ridge,OH,Ohio,Trumbull,41.1385,-80.7672,3987,447.5
Clearwater,SC,South Carolina,Aiken,33.5038,-81.91,3985,373.9
Magee,MS,Mississippi,Simpson,31.873,-89.734,3984,306.5
Ely,NV,Nevada,White Pine,39.265,-114.8708,3983,202.2
Rossville,GA,Georgia,Walker,34.9747,-85.2898,3982,852.8
Brookville,PA,Pennsylvania,Jefferson,41.1615,-79.0827,3982,466.6
Mary Esther,FL,Florida,Okaloosa,30.4127,-86.6588,3979,1159.6
Belleville,MI,Michigan,Wayne,42.2022,-83.4839,3978,1322.7
Mitchell,IN,Indiana,Lawrence,38.7369,-86.4755,3978,459.0
Crittenden,KY,Kentucky,Grant,38.7755,-84.6137,3976,441.4
Berne,IN,Indiana,Adams,40.6572,-84.9555,3976,666.8
Swanton,OH,Ohio,Fulton,41.5839,-83.888,3975,441.3
Spencer,OK,Oklahoma,Oklahoma,35.5108,-97.3715,3973,285.9
Malden,MO,Missouri,Dunklin,36.585,-89.9808,3972,191.9
Woodson Terrace,MO,Missouri,St. Louis,38.7286,-90.36,3971,2019.2
Scandia,MN,Minnesota,Washington,45.254,-92.8278,3971,45.8
St. James,MO,Missouri,Phelps,38.0013,-91.6154,3970,366.3
Schnecksville,PA,Pennsylvania,Lehigh,40.6699,-75.6115,3969,554.3
Valdez,AK,Alaska,Chugach,61.0963,-146.2596,3966,7.0
