city,state_id,state,county,lat,lng,population,density
Middleton,WI,Wisconsin,Dane,43.1064,-89.5059,21634,854.1
Bear,DE,Delaware,New Castle,39.6189,-75.6808,21625,1428.2
Columbia Heights,MN,Minnesota,Anoka,45.0484,-93.2472,21612,2294.0
Dolton,IL,Illinois,Cook,41.6284,-87.5979,21588,1899.6
Shelby,NC,North Carolina,Cleveland,35.2904,-81.5451,21564,346.9
Tukwila,WA,Washington,King,47.475,-122.2728,21545,851.9
North Bellmore,NY,New York,Nassau,40.6904,-73.539,21535,3156.6
South Holland,IL,Illinois,Cook,41.5977,-87.6022,21524,1144.6
Rocky River,OH,Ohio,Cuyahoga,41.4702,-81.8525,21515,1642.1
Lennox,CA,California,Los Angeles,33.938,-118.3586,21514,7936.6
Sulphur,LA,Louisiana,Calcasieu,30.2286,-93.3566,21490,692.4
Geneva,IL,Illinois,Kane,41.8833,-88.3242,21472,846.3
Rose Hill,VA,Virginia,Fairfax,38.7872,-77.1085,21466,1501.4
Secaucus,NJ,New Jersey,Hudson,40.781,-74.0659,21439,1369.5
Holiday,FL,Florida,Pasco,28.1864,-82.7429,21435,1516.2
North Salt Lake,UT,Utah,Davis,40.8439,-111.9187,21411,945.0
Mukilteo,WA,Washington,Snohomish,47.9096,-122.3035,21409,1321.5
Liberty Triangle,FL,Florida,Marion,29.076,-82.2191,21409,443.1
Lorton,VA,Virginia,Fairfax,38.6983,-77.2164,21394,1516.7
Lakeside,CA,California,San Diego,32.856,-116.904,21383,1172.0
St. Andrews,SC,South Carolina,Richland,34.051,-81.1057,21383,1335.0
Park Forest,IL,Illinois,Cook,41.4817,-87.6867,21368,1612.1
South Lake Tahoe,CA,California,El Dorado,38.9393,-119.9828,21355,853.9
Ashland,OR,Oregon,Jackson,42.1905,-122.6992,21348,1229.9
Dickinson,TX,Texas,Galveston,29.4548,-95.0589,21336,808.6
Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,21301,668.0
Baldwin,PA,Pennsylvania,Allegheny,40.369,-79.9669,21274,1316.1
Selden,NY,New York,Suffolk,40.8714,-73.0466,21265,1811.1
Elmwood Park,NJ,New Jersey,Bergen,40.9049,-74.1201,21239,2924.6
Carrboro,NC,North Carolina,Orange,35.9259,-79.0878,21237,1267.3
Lealman,FL,Florida,Pinellas,27.8197,-82.6847,21213,2075.4
Mountlake Terrace,WA,Washington,Snohomish,47.7921,-122.3077,21210,2030.4
Pleasant Prairie,WI,Wisconsin,Kenosha,42.5266,-87.8895,21193,242.6
Seymour,IN,Indiana,Jackson,38.9476,-85.8911,21192,629.5
Gardner,MA,Massachusetts,Worcester,42.5845,-71.9868,21183,360.5
East Moline,IL,Illinois,Rock Island,41.5199,-90.3879,21181,547.1
Lino Lakes,MN,Minnesota,Anoka,45.1679,-93.083,21180,297.6
Milwaukie,OR,Oregon,Clackamas,45.4445,-122.6219,21108,1634.2
Payson,UT,Utah,Utah,40.0355,-111.739,21093,595.5
Louisville,CO,Colorado,Boulder,39.971,-105.1441,21091,936.9
Lindenwold,NJ,New Jersey,Camden,39.8173,-74.9898,21048,1710.6
Clemmons,NC,North Carolina,Forsyth,36.0319,-80.3861,21032,665.2
Merrick,NY,New York,Nassau,40.6515,-73.5535,20990,1997.2
McNair,VA,Virginia,Fairfax,38.9513,-77.4115,20980,3928.4
Harvey,LA,Louisiana,Jefferson,29.8876,-90.0666,20942,1249.5
Rio Rico,AZ,Arizona,Santa Cruz,31.4957,-110.9885,20914,122.1
Lomita,CA,California,Los Angeles,33.7933,-118.3175,20884,4081.0
Wade Hampton,SC,South Carolina,Greenville,34.8821,-82.3336,20879,877.6
Lockport,NY,New York,Niagara,43.1698,-78.6956,20876,938.6
Ozark,MO,Missouri,Christian,37.0365,-93.2158,20874,642.6
Hays,KS,Kansas,Ellis,38.8821,-99.3221,20870,931.6
Makakilo,HI,Hawaii,Honolulu,21.3591,-158.0813,20862,1977.2
Avon,IN,Indiana,Hendricks,39.7601,-86.3916,20848,371.8
Mineola,NY,New York,Nassau,40.747,-73.6394,20837,4018.6
Grayslake,IL,Illinois,Lake,42.3405,-88.0338,20827,725.5
Willmar,MN,Minnesota,Kandiyohi,45.1216,-95.0569,20823,540.2
Murrysville,PA,Pennsylvania,Westmoreland,40.4456,-79.6554,20810,206.4
Arnold,MO,Missouri,Jefferson,38.4297,-90.3733,20808,708.4
Fort Walton Beach,FL,Florida,Okaloosa,30.4255,-86.6222,20805,1118.7
Hyattsville,MD,Maryland,Prince George's,38.9613,-76.9548,20790,2607.4
South Milwaukee,WI,Wisconsin,Milwaukee,42.912,-87.8627,20785,1667.8
Germantown,WI,Wisconsin,Washington,43.2343,-88.1217,20780,226.2
Lebanon,OH,Ohio,Warren,39.4254,-84.2133,20770,625.5
Langley Park,MD,Maryland,Prince George's,38.9897,-76.9808,20769,7530.6
Parma Heights,OH,Ohio,Cuyahoga,41.3865,-81.7637,20764,1832.3
Harvey,IL,Illinois,Cook,41.6076,-87.652,20751,1511.5
West Hempstead,NY,New York,Nassau,40.6959,-73.6507,20729,2874.5
Green Valley,AZ,Arizona,Pima,31.8393,-111.0009,20729,408.2
Lincolnia,VA,Virginia,Fairfax,38.8158,-77.1543,20704,1839.3
North Ogden,UT,Utah,Weber,41.3123,-111.9584,20703,1025.2
Mead Valley,CA,California,Riverside,33.8333,-117.2852,20698,421.3
Helena,AL,Alabama,Shelby,33.2837,-86.8791,20680,326.1
Adrian,MI,Michigan,Lenawee,41.8994,-84.0447,20674,990.9
Pittsburg,KS,Kansas,Crawford,37.4129,-94.6985,20667,591.0
Mill Creek,WA,Washington,Snohomish,47.8631,-122.2037,20665,1725.3
Murphy,TX,Texas,Collin,33.0186,-96.6105,20655,1405.1
South St. Paul,MN,Minnesota,Dakota,44.8877,-93.0411,20637,1381.9
Suwanee,GA,Georgia,Gwinnett,34.0508,-84.0686,20629,718.3
Coronado,CA,California,San Diego,32.6649,-117.1604,20627,1213.2
Libertyville,IL,Illinois,Lake,42.287,-87.967,20616,889.9
La Cañada Flintridge,CA,California,Los Angeles,34.2097,-118.2002,20613,898.4
Covington,WA,Washington,King,47.3667,-122.1045,20608,1375.4
Tullahoma,TN,Tennessee,Coffee,35.3721,-86.2172,20599,329.1
Rosamond,CA,California,Kern,34.8658,-118.2155,20574,150.0
Marquette,MI,Michigan,Marquette,46.544,-87.4082,20561,702.6
Sidney,OH,Ohio,Shelby,40.2891,-84.1667,20559,667.6
Bethany,OK,Oklahoma,Oklahoma,35.5071,-97.6418,20542,1424.7
Battle Ground,WA,Washington,Clark,45.7766,-122.5413,20536,945.8
Pleasantville,NJ,New Jersey,Atlantic,39.39,-74.5169,20505,1365.0
Stephenville,TX,Texas,Erath,32.2147,-98.2205,20504,679.2
Yorkville,IL,Illinois,Kendall,41.6563,-88.4507,20503,374.3
West St. Paul,MN,Minnesota,Dakota,44.9018,-93.0858,20476,1558.0
Snellville,GA,Georgia,Gwinnett,33.8562,-84.0038,20475,734.6
Ypsilanti,MI,Michigan,Washtenaw,42.244,-83.6208,20448,1870.8
Five Corners,WA,Washington,Clark,45.6883,-122.5738,20428,1287.1
Oroville,CA,California,Butte,39.4999,-121.5634,20409,548.7
Bryant,AR,Arkansas,Saline,34.6152,-92.4914,20399,387.4
Elko,NV,Nevada,Elko,40.8381,-115.7678,20391,441.3
Old Jamestown,MO,Missouri,St. Louis,38.8394,-90.2847,20382,506.9
Hanahan,SC,South Carolina,Berkeley,32.9302,-80.0027,20381,943.8
Northfield,MN,Minnesota,Rice,44.455,-93.1698,20374,925.8
Forest Lake,MN,Minnesota,Washington,45.2536,-92.9582,20366,257.8
Agoura Hills,CA,California,Los Angeles,34.151,-118.7609,20362,1003.9
Piqua,OH,Ohio,Miami,40.1506,-84.2441,20352,693.8
Monroe,MI,Michigan,Monroe,41.9155,-83.3849,20344,834.1
Lynbrook,NY,New York,Nassau,40.6579,-73.6742,20325,3729.9
Painesville,OH,Ohio,Lake,41.724,-81.2536,20311,1121.0
Crest Hill,IL,Illinois,Will,41.5723,-88.1124,20305,870.7
Rosedale,MD,Maryland,Baltimore,39.3266,-76.5084,20296,1123.0
Palisades Park,NJ,New Jersey,Bergen,40.8472,-73.9966,20291,6448.7
Glassboro,NJ,New Jersey,Gloucester,39.7014,-75.1113,20284,831.4
Sherwood,OR,Oregon,Washington,45.3594,-122.8427,20281,1564.6
East Northport,NY,New York,Suffolk,40.8791,-73.3233,20281,1504.4
Perry,GA,Georgia,Houston,32.472,-83.7283,20227,246.7
Saco,ME,Maine,York,43.539,-70.4624,20203,197.3
Marion Oaks,FL,Florida,Marion,29.0011,-82.1953,20190,250.9
Bothell West,WA,Washington,Snohomish,47.8056,-122.2401,20180,1852.5
Plainview,TX,Texas,Hale,34.1911,-101.7235,20180,561.1
Foley,AL,Alabama,Baldwin,30.3983,-87.665,20170,229.7
La Crescenta-Montrose,CA,California,Los Angeles,34.2322,-118.2353,20149,2271.8
Clifton,CO,Colorado,Mesa,39.0764,-108.4605,20122,1333.8
Palm Valley,FL,Florida,St. Johns,30.2011,-81.3948,20115,650.3
Mayfield Heights,OH,Ohio,Cuyahoga,41.5174,-81.4534,20113,1721.4
Montrose,CO,Colorado,Montrose,38.4689,-107.859,20098,405.3
Montgomery,IL,Illinois,Kane,41.7237,-88.3633,20084,810.3
Westbrook,ME,Maine,Cumberland,43.6954,-70.3539,20074,425.3
Sherrelwood,CO,Colorado,Adams,39.839,-105.0014,20069,3019.8
Shenandoah,LA,Louisiana,East Baton Rouge,30.4019,-91.002,20068,1311.0
South Burlington,VT,Vermont,Chittenden,44.4622,-73.2202,20042,454.8
Golden,CO,Colorado,Jefferson,39.7406,-105.2118,20041,817.2
Frankfort,IL,Illinois,Will,41.4892,-87.8363,20040,468.5
Mesquite,NV,Nevada,Clark,36.8032,-114.133,20019,232.0
Whitehall,OH,Ohio,Franklin,39.9682,-82.8833,20004,1385.8
Morristown,NJ,New Jersey,Morris,40.7967,-74.4772,20003,2530.3
East Hemet,CA,California,Riverside,33.7301,-116.941,19998,1498.5
Imperial,CA,California,Imperial,32.839,-115.572,19982,1143.5
North Liberty,IA,Iowa,Johnson,41.7438,-91.6112,19976,811.0
World Golf Village,FL,Florida,St. Johns,29.9654,-81.4896,19975,270.6
Plattsburgh,NY,New York,Clinton,44.6951,-73.4563,19969,1482.3
Hauppauge,NY,New York,Suffolk,40.8211,-73.2109,19967,743.8
Albany,CA,California,Alameda,37.8897,-122.3018,19958,4345.3
Rolla,MO,Missouri,Phelps,37.9459,-91.7607,19949,645.4
Pecan Grove,TX,Texas,Fort Bend,29.6235,-95.733,19944,849.6
Ennis,TX,Texas,Ellis,32.3254,-96.6347,19942,236.6
Forest Park,OH,Ohio,Hamilton,39.2861,-84.5258,19940,1115.5
Oregon,OH,Ohio,Lucas,41.6524,-83.4321,19935,270.8
Sand Springs,OK,Oklahoma,Tulsa,36.1353,-96.1283,19935,388.2
Portland,TX,Texas,San Patricio,27.8942,-97.3278,19914,550.5
Mokena,IL,Illinois,Will,41.5327,-87.8781,19897,922.1
Shafter,CA,California,Kern,35.4794,-119.2013,19897,197.0
Prunedale,CA,California,Monterey,36.8064,-121.6555,19893,172.3
Port Angeles,WA,Washington,Clallam,48.1141,-123.4565,19888,723.5
Kinston,NC,North Carolina,Lenoir,35.2747,-77.5939,19888,422.5
